datasetkey	datasetTitle	occurrenceCount
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EOD - eBird Observation Dataset	361429888
38b4c89f-584c-41bb-bd8f-cd1def33e92f	Artportalen (Swedish Species Observation System)	64483068
8a863029-f435-446a-821e-275f4f641165	Observation.org, Nature data from the Netherlands	26859363
b124e1e0-4755-430f-9eab-894f25a9b59c	Norwegian Species Observation Service	19718192
95db4db8-f762-11e1-a439-00145eb45e9a	DOF	19287097
906e6978-e292-4a8b-9c39-adf6bb0f3323	Southern African Bird Atlas Project 2: Full protocol records	11034325
4bf1cca8-832c-4891-9e17-7e7a65b7cc81	BirdLife Australia, Birdata	10153635
6ac3f774-d9fb-4796-b3e9-92bf6c81c084	naturgucker	9000005
83e20573-f7dd-4852-9159-21566e1e691e	Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast	8474604
82cb293c-f762-11e1-a439-00145eb45e9a	Great Backyard Bird Count	7076556
50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist Research-grade Observations	6577343
271c444f-f8d8-4986-b748-e7367755c0c1	Florabank1 - A grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	4138067
73d4365a-8868-4d84-a6fd-51098b968170	First Bird Atlas	2712345
912ac7b3-f473-435b-97d1-20b6ed0a6208	RSPB Big Garden Birdwatch winter sightings in the UK in 2009	2126593
c779b049-28f3-4daf-bbf4-0a40830819b6	EBCC Atlas of European Breeding Birds	1339711
169fa761-2fb9-4022-93bd-e22b7a062efd	PlutoF platform observations	1288808
ca435754-9190-4a87-9b2c-c21563898294	Données issues de Clicnat (Base de données naturaliste picarde gérée par Picardie Nature)	1285805
bfc6fe18-77c7-4ede-a555-9207d60d1d86	Waarnemingen.be - Plant occurrences in Flanders and the Brussels Capital Region, Belgium	1199926
87b6acb8-4db2-4769-93ca-e086040dfe14	Bugbase, Lepidopterological Society	1038437
1270b3c8-ff55-4b63-a407-dcd7e08cd23f	Dragonfly records from the British Dragonfly Society's Dragonfly Recording Network for the period up to 2014	1030501
52f2051b-c47e-403a-8e32-04b2f2273c20	Aranzadi Ringing Scheme (bird ring-recovery data)	956847
1f968e89-ca96-4065-91a5-4858e736b5aa	Waarnemingen.be - Butterfly occurrences in Flanders and the Brussels Capital Region, Belgium	899407
bd8ee748-4ae8-4956-98d9-c1b8e8b2b9c9	TAXA - Flore et habitats naturels de Franche-Comté	771546
84d26682-f762-11e1-a439-00145eb45e9a	Danish Mycological Society, fungal records database	726275
13b70480-bd69-11dd-b15f-b8a03c50a862	AntWeb	720912
dee8edc4-b19a-11e2-886d-00145eb45e9a	Floristic Databases of Mecklenburg-Pomerania - Higher Plants	710783
7f9eb622-c036-44c6-8be9-5793eaa1fa1e	Watervogels - Wintering waterbirds in Flanders, Belgium	681444
cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	BugGuide - Identification, Images, & Information For Insects, Spiders & Their Kin For the United States & Canada	527723
ab47c4a9-4b6a-4d59-b846-899d9420f7d3	CRBPO : STOC, Baguage	497872
